RutaID,X,Y,Lat,Lon
139,883,645,42.4216359069766,-1.26434336559985
149,932,628,42.4559344155501,-1.1274351277705
149,899,639,42.4335439797311,-1.21957346554772
149,906,639,42.4346111025631,-1.20036765270095
149,934,628,42.4562393077878,-1.12194775267142
167,713,607,42.4556899875052,-1.72525455371127
167,704,620,42.4338019469211,-1.75183469005272
167,704,629,42.419598544642,-1.75314103894199
167,690,636,42.4064172083164,-1.79256871377163
167,670,664,42.359179923293,-1.85150666130678
167,670,671,42.3481328326314,-1.85252271044288
167,662,674,42.3421787962542,-1.87490766046895
167,666,684,42.3270070226417,-1.86538440903664
167,657,689,42.317744228528,-1.89080334636541
167,646,702,42.2955512957062,-1.92287085780595
167,639,705,42.2897497054478,-1.94251212028247
167,637,703,42.2926011248277,-1.94770919562838
167,644,696,42.3047153383213,-1.92748733364552
