RutaID,X,Y
1031,1071,153
1031,1078,159
1031,1065,176
1031,1062,194
1031,1064,199
1031,1067,199
1031,1069,193
1031,1075,196
1031,1077,219
1031,1074,224
1031,1059,230
1031,1050,230
1031,1060,231
1031,1074,225
1031,1073,241
1031,1067,244
1031,1065,250
1031,1060,250
1031,1054,240
1031,1042,233
1031,1047,232
1031,1041,230
1031,1038,225
1031,1035,230
1031,1037,233
1031,1041,233
1031,1052,242
1031,1048,249
1031,1054,244
1031,1056,250
1031,1049,254
1031,1044,254
1031,1045,251
1031,1032,255
1031,1020,275
1031,1012,277
1031,990,294
1031,979,293
1031,967,300
1031,964,299
1031,989,282
1031,993,273
1031,983,285
1031,959,300
1031,958,305
1031,962,303
1031,961,306
1031,954,310
1031,952,309
1031,955,306
1031,919,328
1031,927,325
1031,924,331
1031,941,317
1031,942,320
1031,925,334
1031,919,334
1031,917,336
1031,922,335
1031,920,339
1031,904,352
1031,898,351
1031,887,356
1031,881,348
1031,884,344
1031,881,348
1031,877,344
1031,885,338
1031,881,338
1031,883,327
1031,891,319
1031,896,306
1031,890,319
1031,886,322
1031,886,318
1031,880,328
1031,880,338
1031,876,338
1031,870,344
1031,855,326
1031,836,321
1031,825,312
1031,817,288
1031,824,312
1031,835,321
1031,855,327
1031,868,343
1031,865,347
1031,871,346
1031,878,353
1031,880,360
1031,879,369
1031,859,398
1031,853,395
1031,848,386
1031,857,403
1031,849,414
1031,842,444
1031,839,445
1031,834,432
1031,841,450
1031,837,452
1031,836,457
1031,839,454
1031,845,458
1031,862,483
1031,863,479
1031,883,493
1031,888,505
1031,899,516
1031,914,525
1031,907,530
1031,915,526
1031,921,531
1031,921,538
1031,916,544
1031,909,545
1031,910,557
1031,900,545
1031,913,563
1031,931,569
1031,931,579
1031,921,582
1031,932,580
1031,942,590
1031,943,598
1031,945,595
1031,942,589
1031,949,591
1031,952,600
1031,960,605
1031,958,611
1031,965,608
1031,970,611
1031,969,614
1031,965,614
1031,965,618
1031,973,624
1031,955,638
1031,953,636
1031,956,633
1031,948,636
1031,945,627
1031,947,623
1031,944,620
1031,943,623
1031,941,621
1031,941,626
1031,936,627
1031,942,626
1031,946,637
1031,961,646
